HomeTeam,AwayTeam,HTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,FTR,FTR,主场胜利=0 客场胜利=1 平局=2
Brentford,Man United,0,4,0,13,15,7,4,6,15,8,2,0,4,0,0,3.82,3.64,2.06,3.72,3.53,1.99,0,0,
Nott'm Forest,West Ham,0,1,0,13,19,6,5,10,11,6,7,4,1,0,0,4.28,3.72,1.92,4.16,3.59,1.87,0,0,
Chelsea,Tottenham,0,1,0,16,10,3,5,9,9,8,5,3,0,0,0,2.3,3.52,3.35,2.26,3.38,3.2,2,2,
Liverpool,Crystal Palace,1,0,1,24,7,4,3,7,8,4,2,2,4,1,0,1.2,7.09,18.57,1.19,6.81,16.43,2,2,
Tottenham,Wolves,2,0,0,11,20,4,3,10,8,8,6,2,2,0,0,1.43,4.94,8.5,1.4,4.78,7.95,0,0,
Crystal Palace,Aston Villa,2,1,1,17,13,9,5,16,14,4,2,2,1,0,0,2.58,3.25,3.12,2.51,3.2,2.94,0,0,
Everton,Nott'm Forest,2,0,0,19,14,8,5,6,9,6,2,3,2,0,0,2,3.6,4.27,1.94,3.47,4.02,2,2,
Fulham,Brentford,0,2,1,18,13,9,5,13,7,6,3,3,2,0,0,2.52,3.53,2.95,2.43,3.39,2.91,0,0,
Leicester,Southampton,2,0,0,6,9,1,3,11,15,2,5,2,3,0,0,1.87,4.09,4.12,1.84,3.88,3.98,1,1,
Bournemouth,Arsenal,1,0,2,6,14,1,6,12,10,3,4,2,1,0,0,8,4.8,1.46,7.68,4.63,1.42,1,1,
Leeds,Chelsea,0,2,0,12,14,6,3,16,15,4,6,0,1,0,1,6.23,4.6,1.57,5.79,4.39,1.54,0,0,
West Ham,Brighton,1,0,1,13,11,3,2,10,7,5,4,2,0,0,0,2.35,3.52,3.22,2.29,3.4,3.11,1,1,
Newcastle,Man City,0,2,1,12,21,6,10,14,7,5,5,4,2,0,0,9.43,5.22,1.38,8.41,5,1.36,2,2,
Man United,Liverpool,0,1,0,12,17,4,5,11,7,6,8,3,1,0,0,5.39,4.4,1.64,5.14,4.34,1.59,0,0,
Southampton,Man United,2,0,0,17,11,5,6,4,14,5,3,0,3,0,0,4.33,4,1.85,4.24,3.98,1.79,1,1,
Brentford,Everton,1,0,1,19,14,5,7,8,8,8,5,2,2,0,0,2.1,3.5,3.84,2.03,3.42,3.72,2,2,
Brighton,Leeds,2,0,0,13,10,4,2,10,14,5,3,2,3,0,0,1.93,3.8,4.24,1.89,3.69,3.91,0,0,
Chelsea,Leicester,2,0,0,7,17,3,5,10,7,3,11,1,2,1,0,1.45,5,7.66,1.42,4.79,7.32,0,0,
Liverpool,Bournemouth,0,5,0,19,5,12,2,6,5,8,1,0,1,0,0,1.13,10.5,29,1.1,10.08,25.02,0,0,
Man City,Crystal Palace,1,0,2,18,2,5,2,14,8,6,1,1,2,0,0,1.2,7.5,17,1.18,7.29,14.46,0,0,
Arsenal,Fulham,2,0,0,22,11,8,3,6,12,9,2,2,3,0,0,1.35,5.83,10,1.31,5.6,9.29,0,0,
Aston Villa,West Ham,2,0,0,9,7,3,2,10,10,3,2,2,0,0,0,2.41,3.41,3.2,2.28,3.4,3.14,1,1,
Wolves,Newcastle,0,1,0,10,21,4,6,10,11,4,13,2,1,0,0,2.76,3.32,2.79,2.7,3.23,2.69,2,2,
Nott'm Forest,Tottenham,1,0,1,17,18,1,7,11,13,6,1,6,1,0,0,7.15,4.63,1.49,6.94,4.47,1.45,1,1,
Crystal Palace,Brentford,2,0,0,13,9,4,3,11,8,4,6,1,2,0,0,2.11,3.47,3.83,2.09,3.39,3.66,2,2,
Fulham,Brighton,2,0,0,10,7,3,4,9,11,3,3,2,1,0,0,3.26,3.44,2.38,3.17,3.31,2.32,0,0,
Southampton,Chelsea,0,2,1,9,10,7,4,15,10,5,3,2,1,0,0,5.5,4.24,1.67,5.3,4.03,1.64,0,0,
Leeds,Everton,1,0,1,14,7,5,2,10,9,10,2,3,3,0,0,2.16,3.61,3.53,2.14,3.5,3.4,2,2,
Arsenal,Aston Villa,0,1,0,22,4,9,3,10,14,10,3,2,3,0,0,1.5,4.67,7.5,1.45,4.51,6.87,0,0,
Bournemouth,Wolves,2,0,0,5,17,2,4,12,12,2,5,2,1,0,0,3.52,3.43,2.24,3.49,3.33,2.13,2,2,
Man City,Nott'm Forest,0,3,0,17,8,9,1,9,7,10,1,0,1,0,0,1.08,13.43,34,1.07,12.41,30.01,0,0,
West Ham,Tottenham,1,0,1,14,13,4,4,10,9,3,4,2,5,0,0,3.7,3.84,2.04,3.59,3.67,1.97,2,2,
Liverpool,Newcastle,1,0,1,23,5,6,2,9,10,13,0,0,2,0,0,1.33,5.89,10,1.31,5.61,9.54,0,0,
Leicester,Man United,1,0,1,10,9,2,2,7,15,1,3,1,3,0,0,3.45,3.86,2.11,3.38,3.74,2.04,1,1,
Everton,Liverpool,2,0,0,14,23,3,8,7,11,7,9,2,2,0,0,8.5,5.21,1.41,7.68,4.95,1.4,2,2,
Brentford,Leeds,0,2,1,14,17,8,6,8,9,2,6,2,2,0,0,2.21,3.6,3.44,2.14,3.54,3.3,0,0,
Chelsea,West Ham,2,0,0,8,6,3,3,6,11,10,3,4,2,0,0,1.58,4.5,6.25,1.53,4.31,5.95,0,0,
Newcastle,Crystal Palace,2,0,0,23,19,6,9,19,12,13,5,2,1,0,0,2.1,3.5,3.89,2.03,3.42,3.76,2,2,
Nott'm Forest,Bournemouth,0,2,0,11,8,3,3,13,10,4,6,2,1,0,0,2.05,3.51,4,1.99,3.43,3.85,1,1,
Tottenham,Fulham,0,1,0,23,9,10,3,9,6,10,3,3,4,0,0,1.52,4.63,6.51,1.48,4.51,6.42,0,0,
Wolves,Southampton,0,1,0,7,12,2,1,10,14,5,6,4,2,0,0,2.3,3.41,3.41,2.21,3.37,3.29,0,0,
Aston Villa,Man City,2,0,0,3,13,1,4,7,6,1,4,2,0,0,0,9.25,5.98,1.35,8.58,5.46,1.33,2,2,
Brighton,Leicester,2,2,2,23,6,11,4,6,8,10,1,1,1,0,0,1.9,3.63,4.85,1.85,3.54,4.41,0,0,
Man United,Arsenal,0,1,0,10,16,6,3,13,9,2,5,3,3,0,0,2.7,3.58,2.7,2.55,3.52,2.65,0,0,
Aston Villa,Southampton,0,1,0,11,7,3,1,13,13,6,3,3,1,0,0,2.14,3.62,3.6,2.08,3.5,3.52,0,0,
Nott'm Forest,Fulham,0,1,0,11,15,3,7,11,10,2,10,2,4,0,0,2.82,3.43,2.67,2.75,3.36,2.57,1,1,
Wolves,Man City,1,0,2,6,16,1,7,7,9,5,7,2,1,1,0,9.5,5.52,1.36,9.22,5.34,1.33,1,1,
Newcastle,Bournemouth,2,0,0,20,10,7,3,10,11,8,1,2,2,0,0,1.5,4.56,7.5,1.46,4.37,7.33,2,2,
Tottenham,Leicester,2,2,2,16,19,11,7,9,9,6,1,1,2,0,0,1.52,4.7,7.04,1.48,4.53,6.59,0,0,
Brentford,Arsenal,1,0,2,5,13,2,7,10,10,3,3,0,2,0,0,4.46,3.98,1.83,4.27,3.83,1.8,1,1,
Everton,West Ham,2,0,0,7,14,2,4,8,11,5,14,3,1,0,0,3,3.39,2.57,2.92,3.28,2.47,0,0,
Arsenal,Tottenham,2,1,1,22,7,9,3,10,10,5,2,2,1,0,1,2.13,3.75,3.57,2.06,3.65,3.43,0,0,
Bournemouth,Brentford,2,0,0,7,13,1,4,11,10,7,8,1,2,0,0,3.45,3.49,2.25,3.32,3.4,2.18,2,2,
Crystal Palace,Chelsea,2,1,1,7,13,3,3,11,13,5,2,1,3,0,0,4.42,3.6,1.93,4.24,3.55,1.87,1,1,
Fulham,Newcastle,1,0,3,3,19,1,10,9,10,1,8,2,0,1,0,3.11,3.57,2.38,3.02,3.4,2.34,1,1,
Liverpool,Brighton,1,1,2,15,6,7,6,9,13,9,2,1,1,0,0,1.38,5.49,8.5,1.35,5.21,8.28,2,2,
Southampton,Everton,2,0,0,22,12,6,5,11,10,7,6,2,2,0,0,2.23,3.48,3.49,2.16,3.37,3.38,1,1,
West Ham,Wolves,0,1,0,18,15,5,4,8,6,1,6,2,2,0,0,2.01,3.5,4.31,1.94,3.43,4.14,0,0,
Man City,Man United,0,4,0,22,12,10,8,3,9,5,1,0,3,0,0,1.37,5.91,9,1.34,5.57,8.04,0,0,
Leeds,Aston Villa,2,0,0,9,19,1,7,23,12,2,9,3,2,1,0,2.43,3.45,3.12,2.35,3.42,2.97,2,2,
Leicester,Nott'm Forest,0,3,0,17,10,7,3,13,12,6,6,2,4,0,0,1.78,4.2,4.5,1.74,3.97,4.42,0,0,
Bournemouth,Leicester,1,0,1,10,9,4,5,8,16,7,2,1,2,0,0,3.64,3.7,2.1,3.49,3.54,2.06,0,0,
Chelsea,Wolves,0,1,0,20,8,7,2,8,8,4,2,2,0,0,0,1.41,4.92,9,1.39,4.66,8.32,0,0,
Man City,Southampton,0,2,0,21,5,8,0,4,8,9,1,0,1,0,0,1.13,10.77,23,1.11,10.05,20.4,0,0,
Newcastle,Brentford,0,2,0,16,6,6,3,14,9,9,5,0,1,0,0,1.83,3.99,4.55,1.79,3.82,4.33,0,0,
Brighton,Tottenham,1,0,1,14,8,4,3,9,14,6,2,1,2,0,0,2.82,3.5,2.65,2.74,3.42,2.53,1,1,
Crystal Palace,Leeds,2,1,1,13,10,5,4,13,23,5,3,3,3,0,0,2.1,3.68,3.76,2.04,3.56,3.55,0,0,
West Ham,Fulham,2,1,1,17,8,8,2,9,7,4,2,1,3,0,0,1.79,3.9,4.82,1.75,3.8,4.58,0,0,
Arsenal,Liverpool,0,2,1,11,8,7,3,11,11,4,3,1,2,0,0,2.67,3.7,2.66,2.53,3.64,2.6,0,0,
Everton,Man United,1,1,2,11,12,2,4,7,13,5,4,2,1,0,0,3.62,3.67,2.11,3.53,3.51,2.07,1,1,
Nott'm Forest,Aston Villa,2,1,1,6,12,3,2,13,19,1,4,3,3,0,0,3.4,3.6,2.22,3.34,3.39,2.19,2,2,
Brentford,Brighton,0,1,0,7,21,3,7,12,15,2,11,3,1,0,0,3.32,3.52,2.3,3.15,3.38,2.28,0,0,
Leicester,Crystal Palace,2,0,0,14,8,5,1,18,13,9,2,2,2,0,0,2.38,3.55,3.12,2.29,3.43,3.1,2,2,
Fulham,Bournemouth,1,1,2,19,10,4,6,9,11,5,6,2,0,0,0,1.92,3.77,4.23,1.88,3.66,4.07,2,2,
Wolves,Nott'm Forest,2,0,0,9,10,2,2,17,13,4,5,2,2,0,0,1.74,3.8,5.41,1.7,3.73,5.09,0,0,
Tottenham,Everton,2,0,0,21,4,7,0,12,13,7,1,1,4,0,0,1.5,4.67,7.26,1.48,4.41,6.75,0,0,
Aston Villa,Chelsea,1,0,1,18,8,7,4,12,11,7,1,0,3,0,0,4.78,3.75,1.85,4.47,3.67,1.8,1,1,
Leeds,Arsenal,1,0,1,16,9,4,4,10,11,6,3,0,2,0,0,6.23,4.49,1.57,5.79,4.32,1.55,1,1,
Man United,Newcastle,2,0,0,15,9,2,2,13,11,4,4,3,1,0,0,2.04,3.8,3.8,1.98,3.71,3.59,2,2,
Southampton,West Ham,0,1,0,10,25,8,4,7,3,4,14,1,1,0,0,3.08,3.42,2.47,2.93,3.37,2.41,2,2,
Liverpool,Man City,2,0,0,13,16,2,6,10,7,5,6,3,1,0,0,4,4.11,1.9,3.67,4,1.89,0,0,
Brighton,Nott'm Forest,2,0,0,19,3,7,0,10,14,9,1,3,1,0,0,1.45,5.17,8.97,1.4,4.75,7.79,2,2,
Crystal Palace,Wolves,1,0,1,14,10,4,4,14,18,4,3,3,1,0,0,2.32,3.21,3.58,2.27,3.13,3.41,0,0,
Bournemouth,Southampton,1,0,1,15,9,3,3,8,13,7,3,1,3,0,0,2.76,3.4,2.74,2.69,3.29,2.64,1,1,
Brentford,Chelsea,2,0,0,8,14,5,5,7,7,6,2,0,0,0,0,4.85,3.93,1.78,4.73,3.81,1.73,2,2,
Liverpool,West Ham,0,1,0,22,8,7,3,9,8,8,3,0,0,0,0,1.45,5.1,7.5,1.42,4.88,6.93,0,0,
Newcastle,Everton,0,1,0,16,1,4,0,9,12,8,2,2,4,0,0,1.65,4.06,5.81,1.63,3.9,5.47,0,0,
Man United,Tottenham,2,0,0,28,9,10,2,7,7,8,3,1,0,0,0,2.49,3.6,2.93,2.42,3.52,2.81,0,0,
Fulham,Aston Villa,0,1,0,18,12,8,6,11,11,9,7,0,2,0,1,2.94,3.47,2.54,2.86,3.36,2.48,0,0,
Leicester,Leeds,0,2,0,5,14,1,2,15,11,2,9,2,1,0,0,2.36,3.65,3.08,2.29,3.55,3,0,0,
Nott'm Forest,Liverpool,2,0,0,10,15,7,7,14,8,2,11,2,1,0,0,11.5,6.25,1.3,11.11,6.02,1.26,0,0,
Everton,Crystal Palace,0,1,0,9,9,6,2,16,14,3,4,3,4,0,0,2.69,3.2,2.97,2.55,3.17,2.92,0,0,
Man City,Brighton,0,2,0,10,8,4,2,11,12,7,3,1,3,0,0,1.22,7.25,15.39,1.2,6.87,14.07,0,0,
Chelsea,Man United,2,0,0,6,13,2,6,8,10,6,4,1,4,0,0,2.15,3.54,3.64,2.1,3.47,3.47,2,2,
Aston Villa,Brentford,0,3,0,19,12,11,3,14,11,7,6,1,0,0,0,2.23,3.5,3.51,2.11,3.45,3.48,0,0,
Leeds,Fulham,2,1,1,14,11,5,5,12,8,3,6,1,1,0,0,2.06,3.69,3.75,2.04,3.56,3.56,1,1,
Southampton,Arsenal,1,0,1,10,12,3,3,11,8,9,4,2,1,0,0,6.2,4.31,1.6,5.7,4.15,1.57,2,2,
Wolves,Leicester,1,0,2,21,5,5,4,10,13,9,2,2,1,0,0,2.3,3.4,3.46,2.27,3.33,3.23,1,1,
Tottenham,Newcastle,1,0,2,17,13,5,5,12,6,6,7,4,2,0,0,2.12,3.62,3.63,2.07,3.53,3.5,1,1,
West Ham,Bournemouth,0,1,0,20,5,4,3,9,11,5,0,0,2,0,0,1.59,4.2,6.53,1.55,4.05,6.05,0,0,
Leicester,Man City,2,0,0,10,15,5,5,5,10,3,10,0,0,0,0,10.5,6.5,1.32,9.65,5.99,1.28,1,1,
Bournemouth,Tottenham,0,1,0,6,23,4,7,10,5,2,19,1,2,0,0,5.41,4,1.75,5.06,3.81,1.69,1,1,
Brentford,Wolves,2,0,0,12,14,3,4,10,17,3,6,3,3,0,1,2.24,3.5,3.44,2.18,3.41,3.32,2,2,
Brighton,Chelsea,0,3,0,19,15,9,7,16,6,8,7,1,2,0,0,3.17,3.43,2.45,3.03,3.3,2.39,0,0,
Crystal Palace,Southampton,0,1,0,12,14,3,4,13,12,8,4,3,3,0,0,1.96,3.62,4.22,1.93,3.55,4.03,0,0,
Newcastle,Aston Villa,0,1,0,20,3,7,0,11,11,3,0,1,1,0,0,1.83,3.82,4.6,1.8,3.68,4.39,0,0,
Fulham,Everton,2,0,0,24,9,6,4,10,8,13,4,2,1,0,0,2.39,3.46,3.18,2.34,3.39,3.03,2,2,
Liverpool,Leeds,2,1,1,22,14,10,6,9,3,14,5,0,1,0,0,1.32,6.25,9.5,1.3,5.96,9.11,1,1,
Arsenal,Nott'm Forest,0,1,0,24,5,10,2,9,8,9,4,0,1,0,0,1.2,7.4,16.85,1.2,6.82,14.39,0,0,
Man United,West Ham,0,1,0,16,13,3,5,12,10,5,10,1,3,0,0,1.71,4.05,5.14,1.68,3.96,4.83,0,0,
Leeds,Bournemouth,1,1,2,18,9,4,6,16,10,13,3,2,2,0,0,1.75,3.99,5.08,1.73,3.83,4.66,0,0,
Man City,Fulham,2,1,1,16,4,5,2,6,11,9,0,2,4,1,0,1.15,10.33,22.62,1.12,9.51,19.44,0,0,
Nott'm Forest,Brentford,2,1,1,15,6,7,2,10,11,3,3,2,2,0,0,2.83,3.43,2.66,2.76,3.34,2.57,2,2,
Wolves,Brighton,2,2,2,8,19,5,8,15,11,4,9,2,0,1,0,3.49,3.33,2.3,3.34,3.29,2.23,1,1,
Everton,Leicester,1,0,1,12,22,2,8,9,5,8,3,0,0,0,0,2.48,3.36,3.12,2.4,3.29,3.01,1,1,
Chelsea,Arsenal,2,0,0,5,14,1,2,20,13,4,6,5,2,0,0,2.72,3.5,2.71,2.61,3.38,2.67,1,1,
Aston Villa,Man United,0,2,1,6,8,4,3,6,12,3,5,3,3,0,0,3.4,3.8,2.22,3.36,3.54,2.13,0,0,
Southampton,Newcastle,1,0,1,16,7,5,4,7,10,8,2,1,0,0,0,4.22,3.71,1.95,3.99,3.6,1.91,1,1,
West Ham,Crystal Palace,2,1,1,5,15,2,6,10,7,2,5,1,1,0,0,1.95,3.56,4.34,1.91,3.46,4.17,1,1,
Tottenham,Liverpool,1,0,2,14,13,5,6,10,8,5,3,0,0,0,0,3.33,3.76,2.19,3.26,3.59,2.14,1,1,
Man City,Brentford,2,1,1,29,10,6,8,9,7,10,2,2,2,0,0,1.15,9.28,20.24,1.14,8.63,18.54,1,1,
Bournemouth,Everton,0,2,0,16,15,9,3,12,8,3,5,2,0,0,0,2.94,3.32,2.63,2.84,3.2,2.59,0,0,
Liverpool,Southampton,0,3,1,15,9,7,5,8,8,6,0,0,2,0,0,1.26,6.5,12,1.24,6.42,11.43,0,0,
Nott'm Forest,Crystal Palace,2,0,0,9,8,2,0,11,13,1,5,1,4,0,0,3.25,3.31,2.45,3.1,3.18,2.42,0,0,
Tottenham,Leeds,1,1,2,14,12,8,5,8,7,9,2,1,1,0,1,1.67,4.35,5.15,1.63,4.19,4.97,0,0,
West Ham,Leicester,1,0,1,18,9,6,6,9,8,7,2,3,1,0,0,2.14,3.56,3.75,2.06,3.46,3.62,1,1,
Newcastle,Chelsea,2,0,0,10,5,3,2,14,11,5,3,3,2,0,0,2.36,3.53,3.18,2.31,3.4,3.08,0,0,
Wolves,Arsenal,2,0,0,11,14,2,4,5,6,6,4,3,2,0,0,6.5,4.3,1.56,6.04,4.22,1.54,1,1,
Brighton,Aston Villa,2,1,1,7,8,2,2,14,11,11,4,2,7,0,0,1.88,3.84,4.33,1.84,3.62,4.24,1,1,
Fulham,Man United,1,0,1,14,14,7,9,9,10,10,3,1,1,0,0,4,4.02,1.91,3.88,3.83,1.87,1,1,
Brentford,Tottenham,0,1,0,9,16,5,8,11,10,6,5,3,1,0,0,4,3.89,1.95,3.85,3.66,1.93,2,2,
Crystal Palace,Fulham,1,0,1,4,23,0,11,12,15,1,8,0,0,2,0,2.1,3.66,3.7,2.06,3.49,3.56,1,1,
Everton,Wolves,2,1,1,12,7,6,4,9,22,2,2,1,6,0,0,2.41,3.26,3.34,2.33,3.22,3.21,1,1,
Leicester,Newcastle,1,0,3,8,12,2,5,9,6,5,5,0,0,0,0,3.36,3.64,2.22,3.23,3.51,2.19,1,1,
Southampton,Brighton,1,0,2,14,7,4,4,9,10,4,2,1,2,0,0,3.5,3.6,2.18,3.38,3.45,2.13,1,1,
Aston Villa,Liverpool,1,0,2,12,16,6,9,7,12,0,6,0,0,0,0,4.75,4.1,1.79,4.54,3.97,1.73,1,1,
Arsenal,West Ham,1,0,1,16,8,5,4,13,17,7,5,0,2,0,0,1.53,4.48,6.85,1.5,4.33,6.43,0,0,
Chelsea,Bournemouth,0,2,0,15,9,5,4,8,10,6,8,0,0,0,0,1.33,5.72,10.69,1.31,5.37,9.7,0,0,
Man United,Nott'm Forest,0,2,0,17,8,8,3,13,4,9,9,3,1,0,0,1.32,5.7,11.66,1.3,5.45,10.44,0,0,
Leeds,Man City,1,0,1,9,26,1,9,11,14,3,5,3,3,0,0,10.5,6.09,1.31,9.51,5.89,1.29,1,1,
West Ham,Brentford,1,0,2,20,9,5,6,9,5,8,1,1,0,0,0,2.08,3.66,3.73,2.04,3.55,3.57,1,1,
Liverpool,Leicester,0,2,1,21,7,5,2,8,15,4,5,0,1,0,0,1.31,6.08,10.5,1.29,5.9,9.63,0,0,
Wolves,Man United,2,0,0,10,16,3,6,11,11,7,5,1,3,0,0,4.16,3.71,1.95,4.01,3.57,1.91,1,1,
Bournemouth,Crystal Palace,1,0,2,6,15,2,6,17,11,2,7,4,1,0,0,2.97,3.32,2.6,2.88,3.24,2.52,1,1,
Fulham,Southampton,0,1,0,8,9,2,3,8,13,4,4,0,1,0,0,2.04,3.6,3.95,1.99,3.58,3.69,0,0,
Man City,Everton,0,1,0,16,2,3,1,13,14,7,1,3,4,0,0,1.16,9,23.85,1.12,8.58,21.64,2,2,
Newcastle,Leeds,2,0,0,16,8,5,1,13,19,9,3,3,5,0,0,1.49,4.8,7,1.45,4.64,6.76,2,2,
Brighton,Arsenal,1,0,2,9,14,5,7,7,11,7,4,3,3,0,0,3.6,3.62,2.15,3.43,3.5,2.11,1,1,
Tottenham,Aston Villa,2,0,0,6,13,2,4,15,10,5,3,4,3,0,0,1.7,4.21,5.25,1.66,3.99,4.99,1,1,
Nott'm Forest,Chelsea,1,0,1,12,7,5,2,16,14,1,2,2,2,0,0,5.43,3.98,1.7,5.11,3.8,1.69,2,2,
Brentford,Liverpool,0,2,0,10,16,7,6,5,8,4,9,1,3,0,0,5.76,4.56,1.58,5.54,4.41,1.55,0,0,
Arsenal,Newcastle,2,0,0,17,8,4,1,10,16,5,5,4,4,0,0,1.83,3.95,4.45,1.8,3.75,4.36,2,2,
Everton,Brighton,1,0,1,10,19,4,8,8,10,5,2,3,1,0,0,3.67,3.51,2.15,3.54,3.42,2.1,1,1,
Leicester,Fulham,1,0,1,15,11,6,2,12,11,6,3,2,6,0,0,2.26,3.73,3.2,2.2,3.56,3.14,1,1,
Man United,Bournemouth,0,1,0,18,7,6,4,13,7,6,5,0,3,0,0,1.3,6.02,11,1.28,5.75,10.47,0,0,
Southampton,Nott'm Forest,1,0,1,8,11,0,1,14,17,6,2,2,2,0,0,2.1,3.52,3.82,2.03,3.41,3.79,1,1,
Leeds,West Ham,2,1,1,14,15,6,2,11,18,8,1,3,1,0,0,2.65,3.59,2.73,2.6,3.49,2.61,2,2,
Aston Villa,Wolves,1,0,1,13,10,4,3,6,12,7,8,1,3,0,0,2,3.76,4,1.97,3.51,3.87,2,2,
Crystal Palace,Tottenham,2,0,0,19,14,4,6,11,8,10,4,1,2,0,0,3.4,3.58,2.23,3.35,3.45,2.16,1,1,
Chelsea,Man City,2,0,0,8,12,2,3,9,9,3,2,2,0,0,0,5.6,4.19,1.67,5.14,3.96,1.65,1,1,
Fulham,Chelsea,0,1,0,8,20,3,10,12,16,5,7,4,3,0,1,3.43,3.6,2.21,3.3,3.48,2.17,0,0,
Aston Villa,Leeds,0,1,0,11,16,5,4,12,8,0,11,2,2,0,0,1.96,3.7,4.11,1.93,3.58,3.94,0,0,
Man United,Man City,2,0,0,8,5,4,1,15,5,1,2,3,0,0,0,4.26,3.98,1.86,4.19,3.79,1.82,0,0,
Brighton,Liverpool,2,0,0,16,6,9,2,8,15,7,1,1,3,0,0,3.4,3.74,2.17,3.3,3.67,2.1,0,0,
Everton,Southampton,0,1,0,12,13,4,5,7,19,6,4,0,3,0,0,2.28,3.48,3.36,2.24,3.31,3.29,1,1,
Nott'm Forest,Leicester,2,0,0,15,6,5,1,11,12,3,5,1,2,0,0,2.74,3.46,2.72,2.68,3.34,2.63,0,0,
Wolves,West Ham,2,0,0,17,16,4,4,10,7,4,3,0,2,0,0,2.75,3.3,2.82,2.66,3.24,2.71,0,0,
Brentford,Bournemouth,0,1,0,12,7,4,2,5,9,5,3,1,1,0,0,1.69,4.14,5.25,1.65,3.97,5.25,0,0,
Chelsea,Crystal Palace,2,0,0,15,10,5,5,10,17,11,7,2,5,0,0,1.68,4,5.64,1.64,3.84,5.44,0,0,
Newcastle,Fulham,2,0,0,20,5,5,0,6,14,10,5,1,3,0,0,1.53,4.55,6.52,1.52,4.3,6.34,0,0,
Tottenham,Arsenal,1,0,2,17,14,7,5,16,15,4,3,4,2,0,0,3.34,3.71,2.21,3.23,3.56,2.17,1,1,
Crystal Palace,Man United,1,0,1,10,15,5,4,9,10,3,3,1,2,0,0,4.62,3.87,1.82,4.51,3.68,1.79,2,2,
Man City,Tottenham,1,0,2,16,9,6,3,10,14,8,3,1,2,0,0,1.39,5.58,8.5,1.36,5.22,8.13,0,0,
Liverpool,Chelsea,2,0,0,15,11,3,2,16,9,5,5,3,1,0,0,1.9,3.88,4.2,1.87,3.76,4.01,2,2,
Bournemouth,Nott'm Forest,0,1,0,16,20,4,5,10,7,4,6,1,2,0,0,2.86,3.2,2.82,2.74,3.12,2.72,2,2,
Leicester,Brighton,2,1,1,9,13,2,4,9,9,5,6,0,1,0,0,3.61,3.71,2.1,3.53,3.57,2.06,2,2,
Southampton,Aston Villa,2,0,0,8,16,5,5,19,9,2,2,1,2,0,0,2.96,3.4,2.57,2.85,3.31,2.51,1,1,
West Ham,Everton,0,2,0,11,5,4,2,9,6,4,9,1,1,0,0,1.82,3.75,5,1.78,3.63,4.73,0,0,
Crystal Palace,Newcastle,2,0,0,6,16,1,7,13,7,3,15,4,2,0,0,4.52,3.57,1.92,4.34,3.5,1.87,2,2,
Leeds,Brentford,2,0,0,9,6,5,0,10,18,2,3,2,2,0,0,2.4,3.72,2.99,2.36,3.58,2.89,2,2,
